Time,Target,EffTarget,Current,Mode,SafeState,k_used,c_used,vmax_s,ErrToDoctor,ErrToEff
2025-10-09 19:55:23,45.00,45.00,41.89,normal,IDLE,0.060,0.400,-1.00,3.67,3.67
2025-10-09 19:55:23,45.00,45.00,42.54,normal,IDLE,0.070,0.400,-1.00,3.08,3.08
2025-10-09 19:55:23,45.00,45.00,42.41,normal,IDLE,0.060,0.400,-1.00,3.11,3.11
2025-10-09 19:55:23,45.00,45.00,43.08,normal,IDLE,0.070,0.400,-1.00,2.46,2.46
2025-10-09 19:55:23,45.00,45.00,42.88,normal,IDLE,0.060,0.400,-1.00,2.59,2.59
2025-10-09 19:55:23,45.00,45.00,43.54,normal,IDLE,0.070,0.400,-1.00,1.92,1.92
2025-10-09 19:55:24,60.00,60.00,44.36,normal,IDLE,0.070,0.400,-1.00,17.12,17.12
2025-10-09 19:55:24,60.00,60.00,45.14,normal,IDLE,0.080,0.400,-1.00,16.46,16.46
2025-10-09 19:55:24,60.00,60.00,46.50,normal,IDLE,0.080,0.400,-1.00,15.64,15.64
2025-10-09 19:55:24,60.00,60.00,47.43,normal,IDLE,0.090,0.400,-1.00,14.86,14.86
2025-10-09 19:55:24,60.00,60.00,49.00,normal,IDLE,0.090,0.400,-1.00,13.50,13.50
2025-10-09 19:55:24,60.00,60.00,50.06,normal,IDLE,0.100,0.400,-1.00,12.57,12.57
2025-10-09 19:55:24,50.00,50.00,50.59,normal,IDLE,0.090,0.400,-1.00,1.00,1.00
2025-10-09 19:55:24,50.00,50.00,51.64,normal,IDLE,0.090,0.400,-1.00,0.06,0.06
2025-10-09 19:55:24,50.00,50.00,51.49,normal,IDLE,0.080,0.400,-1.00,0.59,0.59
2025-10-09 19:55:24,50.00,50.00,52.43,normal,IDLE,0.090,0.400,-1.00,1.64,1.64
2025-10-09 19:55:24,50.00,50.00,51.92,normal,IDLE,0.080,0.400,-1.00,1.49,1.49
2025-10-09 19:55:24,50.00,50.00,52.69,normal,IDLE,0.090,0.400,-1.00,2.43,2.43
2025-10-09 19:55:24,50.00,50.00,52.02,normal,IDLE,0.080,0.400,-1.00,1.92,1.92
2025-10-09 19:55:24,50.00,50.00,52.61,normal,IDLE,0.090,0.400,-1.00,2.69,2.69
2025-10-09 19:55:24,50.00,50.00,51.92,normal,IDLE,0.080,0.400,-1.00,2.02,2.02
2025-10-09 19:55:24,50.00,50.00,52.32,normal,IDLE,0.090,0.400,-1.00,2.61,2.61
